"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
55.94	0.01355674	1	0.03534183	0.9431039	0.5150756	5.940879e-07	1	0.005439137	0.01113435	0.9507427	0.07745773
55.95	0.01354632	1	0.03533259	0.9431058	0.5150789	5.925673e-07	1	0.005437562	0.0111316	0.9507433	0.07745453
55.96	0.01353591	1	0.03532336	0.9431078	0.5150822	5.910506e-07	1	0.005435987	0.01112886	0.9507439	0.07745133
55.97	0.01352551	1	0.03531413	0.9431098	0.5150854	5.895378e-07	1	0.005434412	0.01112612	0.9507445	0.07744813
55.98	0.01351511	1	0.03530491	0.9431117	0.5150887	5.880289e-07	1	0.005432839	0.01112338	0.9507451	0.07744493
55.99	0.01350472	1	0.03529569	0.9431137	0.515092	5.865238e-07	1	0.005431266	0.01112065	0.9507456	0.07744173
56	0.01349434	1	0.03528647	0.9431157	0.5150953	5.850226e-07	1	0.005429694	0.01111791	0.9507462	0.07743853
56.01	0.01348397	1	0.03527726	0.9431176	0.5150986	5.835252e-07	1	0.005428123	0.01111517	0.9507468	0.07743533
56.02	0.01347361	1	0.03526805	0.9431196	0.5151019	5.820317e-07	1	0.005426552	0.01111244	0.9507474	0.07743214
56.03	0.01346326	1	0.03525885	0.9431216	0.5151052	5.80542e-07	1	0.005424983	0.0111097	0.9507479	0.07742894
56.04	0.01345291	1	0.03524965	0.9431235	0.5151085	5.790561e-07	1	0.005423414	0.01110697	0.9507485	0.07742574
56.05	0.01344257	1	0.03524045	0.9431255	0.5151118	5.77574e-07	1	0.005421845	0.01110424	0.9507491	0.07742255
56.06	0.01343224	1	0.03523126	0.9431275	0.5151151	5.760957e-07	1	0.005420277	0.01110151	0.9507497	0.07741935
56.07	0.01342192	1	0.03522207	0.9431294	0.5151183	5.746212e-07	1	0.00541871	0.01109878	0.9507502	0.07741616
56.08	0.0134116	1	0.03521288	0.9431314	0.5151216	5.731504e-07	1	0.005417144	0.01109605	0.9507508	0.07741297
56.09	0.01340129	1	0.0352037	0.9431334	0.5151249	5.716834e-07	1	0.005415579	0.01109333	0.9507514	0.07740977
56.1	0.01339099	1	0.03519452	0.9431353	0.5151282	5.702202e-07	1	0.005414014	0.0110906	0.950752	0.07740658
56.11	0.0133807	1	0.03518535	0.9431373	0.5151315	5.687607e-07	1	0.00541245	0.01108788	0.9507525	0.07740339
56.12	0.01337042	1	0.03517618	0.9431392	0.5151348	5.67305e-07	1	0.005410886	0.01108515	0.9507531	0.0774002
56.13	0.01336014	1	0.03516701	0.9431412	0.515138	5.65853e-07	1	0.005409324	0.01108243	0.9507537	0.07739701
56.14	0.01334987	1	0.03515785	0.9431432	0.5151413	5.644046e-07	1	0.005407762	0.01107971	0.9507543	0.07739382
56.15	0.01333961	1	0.03514869	0.9431451	0.5151446	5.629601e-07	1	0.005406201	0.01107699	0.9507548	0.07739063
56.16	0.01332936	1	0.03513954	0.9431471	0.5151479	5.615192e-07	1	0.00540464	0.01107427	0.9507554	0.07738744
56.17	0.01331912	1	0.03513039	0.943149	0.5151511	5.600819e-07	1	0.00540308	0.01107156	0.950756	0.07738425
56.18	0.01330888	1	0.03512124	0.943151	0.5151544	5.586484e-07	1	0.005401521	0.01106884	0.9507566	0.07738106
56.19	0.01329865	1	0.0351121	0.9431529	0.5151577	5.572185e-07	1	0.005399963	0.01106612	0.9507571	0.07737787
56.2	0.01328843	1	0.03510296	0.9431549	0.515161	5.557923e-07	1	0.005398405	0.01106341	0.9507577	0.07737469
56.21	0.01327822	1	0.03509382	0.9431568	0.5151642	5.543698e-07	1	0.005396848	0.0110607	0.9507583	0.0773715
56.22	0.01326802	1	0.03508469	0.9431588	0.5151675	5.529509e-07	1	0.005395292	0.01105798	0.9507589	0.07736832
56.23	0.01325782	1	0.03507556	0.9431607	0.5151708	5.515356e-07	1	0.005393737	0.01105527	0.9507594	0.07736513
